TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
353,2,3,39,2,48,6,1,80,49,NaN,NaN
354,1,3,12,3,4,5,0,NaN,NaN,NaN,NaN
355,2,2,10,1,65,7,0,NaN,NaN,NaN,NaN
356,1,1,21,1,31,5,0,NaN,NaN,NaN,NaN
357,1,4,32,2,27,5,0,NaN,NaN,NaN,NaN
358,2,2,92,3,29,6,1,92,64,NaN,NaN
359,2,1,83,2,22,7,0,NaN,NaN,NaN,NaN
360,1,3,46,1,44,4,1,46,36,NaN,NaN
361,1,2,16,4,43,5,0,NaN,NaN,NaN,NaN
362,2,4,9,3,38,7,0,NaN,NaN,NaN,NaN
363,2,1,23,4,7,6,1,71,7,NaN,NaN
364,1,1,62,3,58,4,1,19,58,NaN,NaN
365,1,4,76,4,12,4,1,76,12,NaN,NaN
366,2,3,26,4,1,7,0,NaN,NaN,NaN,NaN
367,1,2,2,2,7,4,1,26,7,NaN,NaN
368,2,4,90,1,42,6,1,90,63,NaN,NaN
369,1,4,20,1,20,5,1,20,29,NaN,NaN
370,2,4,92,2,23,7,0,NaN,NaN,NaN,NaN
371,2,4,67,4,52,6,1,67,36,NaN,NaN
372,1,1,20,2,31,4,0,NaN,NaN,NaN,NaN
373,1,4,41,3,45,4,0,NaN,NaN,NaN,NaN
374,1,3,42,4,31,4,0,NaN,NaN,NaN,NaN
375,1,2,1,1,35,4,0,NaN,NaN,NaN,NaN
376,2,1,82,1,48,7,0,NaN,NaN,NaN,NaN
377,2,2,71,2,10,6,1,8,10,NaN,NaN
378,2,3,83,3,22,7,0,NaN,NaN,NaN,NaN
379,1,1,48,4,3,5,1,92,40,NaN,NaN
380,1,3,70,2,62,5,1,70,62,NaN,NaN
381,1,2,20,3,35,5,1,14,54,NaN,NaN
382,2,1,58,3,40,6,1,55,40,NaN,NaN
383,2,3,28,1,10,6,1,28,10,NaN,NaN
384,2,2,45,4,2,7,0,NaN,NaN,NaN,NaN
385,2,3,39,1,42,4,1,58,39,NaN,NaN
386,1,3,28,2,10,6,1,14,10,NaN,NaN
387,1,2,45,1,48,5,0,NaN,NaN,NaN,NaN
388,2,4,9,2,22,7,0,NaN,NaN,NaN,NaN
389,2,1,83,1,65,7,0,NaN,NaN,NaN,NaN
390,1,1,58,4,52,6,1,58,52,NaN,NaN
391,1,4,67,1,10,6,1,67,11,NaN,NaN
392,1,3,83,4,2,5,0,NaN,NaN,NaN,NaN
393,1,4,92,3,22,5,0,NaN,NaN,NaN,NaN
394,2,2,92,2,48,4,1,6,48,NaN,NaN
395,1,1,82,2,23,5,0,NaN,NaN,NaN,NaN
396,2,4,90,4,7,4,1,64,48,NaN,NaN
397,2,3,26,3,38,7,0,NaN,NaN,NaN,NaN
398,2,1,23,3,29,4,1,23,29,NaN,NaN
399,2,2,10,4,1,7,0,NaN,NaN,NaN,NaN
400,1,2,71,3,40,6,1,71,61,NaN,NaN
401,1,1,20,1,35,6,0,NaN,NaN,NaN,NaN
402,2,2,2,3,58,4,1,2,58,NaN,NaN
403,2,1,62,4,12,4,1,73,12,NaN,NaN
404,1,2,20,2,62,5,1,20,34,NaN,NaN
405,1,4,41,2,31,6,0,NaN,NaN,NaN,NaN
406,1,3,70,1,20,5,1,39,29,NaN,NaN
407,2,3,46,2,7,4,1,46,9,NaN,NaN
408,2,1,21,2,27,7,0,NaN,NaN,NaN,NaN
409,1,2,1,4,31,6,0,NaN,NaN,NaN,NaN
410,2,2,16,1,31,7,0,NaN,NaN,NaN,NaN
411,2,4,76,1,44,4,1,26,53,NaN,NaN
412,1,3,42,3,45,6,0,NaN,NaN,NaN,NaN
413,2,4,32,3,4,7,0,NaN,NaN,NaN,NaN
414,2,3,12,4,43,7,0,NaN,NaN,NaN,NaN
415,1,1,48,3,35,5,1,76,35,NaN,NaN
416,1,4,20,4,3,5,1,20,3,NaN,NaN
417,2,3,42,1,35,7,1,66,35,NaN,NaN
418,1,1,62,2,7,6,0,NaN,NaN,NaN,NaN
419,2,3,70,3,35,4,0,NaN,NaN,NaN,NaN
420,1,4,32,1,31,5,1,32,41,NaN,NaN
421,1,2,2,1,44,6,0,NaN,NaN,NaN,NaN
422,1,1,21,4,43,5,1,9,1,NaN,NaN
423,1,4,76,3,58,6,0,NaN,NaN,NaN,NaN
424,1,3,12,2,27,5,1,3,27,NaN,NaN
425,2,2,1,2,31,7,1,60,31,NaN,NaN
426,2,4,41,4,31,7,1,41,55,NaN,NaN
427,1,2,16,3,4,5,1,16,4,NaN,NaN
428,2,2,20,4,3,4,0,NaN,NaN,NaN,NaN
429,2,1,48,1,20,4,0,NaN,NaN,NaN,NaN
430,1,3,46,4,12,6,0,NaN,NaN,NaN,NaN
431,2,1,20,3,45,7,1,20,62,NaN,NaN
432,2,4,20,2,62,4,0,NaN,NaN,NaN,NaN
433,2,4,67,3,40,4,0,NaN,NaN,NaN,NaN
434,2,2,45,3,22,7,1,45,5,NaN,NaN
435,2,2,71,1,10,4,0,NaN,NaN,NaN,NaN
436,1,4,90,2,48,5,0,NaN,NaN,NaN,NaN
437,2,3,28,4,52,4,0,NaN,NaN,NaN,NaN
438,1,3,39,3,29,5,0,NaN,NaN,NaN,NaN
439,1,2,10,2,22,6,1,18,36,NaN,NaN
440,2,4,92,1,48,7,1,92,48,NaN,NaN
441,1,2,92,4,7,5,0,NaN,NaN,NaN,NaN
442,1,1,23,1,42,5,0,NaN,NaN,NaN,NaN
443,1,1,83,3,38,6,1,39,38,NaN,NaN
444,1,4,9,4,1,6,1,9,17,NaN,NaN
445,2,1,58,2,10,4,0,NaN,NaN,NaN,NaN
446,1,3,26,1,65,6,1,11,65,NaN,NaN
447,2,1,82,4,2,7,1,18,2,NaN,NaN
448,2,3,83,2,23,7,1,83,30,NaN,NaN
449,1,1,48,2,62,7,1,48,62,NaN,NaN
450,2,3,83,1,48,6,0,NaN,NaN,NaN,NaN
451,1,4,41,1,35,4,0,NaN,NaN,NaN,NaN
452,1,4,20,3,35,7,1,55,35,NaN,NaN
453,1,2,20,1,20,7,1,34,5,NaN,NaN
454,2,2,71,4,52,5,1,71,40,NaN,NaN
455,1,3,42,2,31,4,0,NaN,NaN,NaN,NaN
456,2,3,28,3,40,5,1,72,57,NaN,NaN
457,1,2,1,3,45,4,0,NaN,NaN,NaN,NaN
458,2,1,58,1,10,5,1,58,36,NaN,NaN
459,1,1,20,4,31,4,0,NaN,NaN,NaN,NaN
