ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval
10pp,0.5514322916666666,0.002,2.794039460232097,0.53125,0.137,1.12131375516649,0.541015625,0.06,1.5249579474678245,0.56640625,0.0,3.3415280401216285,0.546875,0.036,1.8061172491983983,0.5455729166666667,0.043,1.724648336003086,0.5338541666666667,0.048,1.7397048741225563,0.5149739583333333,0.215,0.7964795692461111,0.5143229166666667,0.231,0.740776775402062
11l,0.5615234375,0.0,3.143892512886143,0.5279947916666666,0.128,1.0558975020435026,0.5598958333333333,0.015,2.22296101181894,0.5794270833333333,0.0,4.1381321342491795,0.5618489583333333,0.009,2.3156739568949822,0.5872395833333333,0.0,3.3177285958534,0.5289713541666667,0.047,1.6330814116542454,0.5299479166666666,0.05,1.6384770919536131,0.5631510416666666,0.001,3.399165027904862
13l,0.5113932291666666,0.283,0.6054501285715486,0.47200520833333337,0.854,-1.021689188785308,0.5234375,0.186,0.8568107618316606,0.5582682291666667,0.002,2.876871272985015,0.5729166666666667,0.005,2.6680809818155655,0.59375,0.0,3.3922335095090093,0.5013020833333333,0.483,0.037985879062024754,0.5188802083333334,0.162,1.000771336561226,0.5494791666666667,0.007,2.655272953257124
OFC,0.4912109375,0.66,-0.4229900001493244,0.478515625,0.804,-0.828522889491517,0.5149739583333333,0.306,0.563499083935332,0.5572916666666667,0.002,3.087675607693293,0.5377604166666667,0.076,1.427787006985064,0.5266927083333333,0.128,1.1186296083118183,0.5289713541666667,0.057,1.5770214583760058,0.49479166666666663,0.615,-0.28726916032249344,0.5540364583333334,0.003,3.002688616721002
47s,0.49576822916666663,0.556,-0.13495881962785122,0.53125,0.113,1.1776340760393533,0.5162760416666666,0.3,0.5540024108993798,0.5934244791666667,0.0,4.811181939773451,0.5755208333333333,0.001,2.820938857020364,0.6236979166666667,0.0,4.3967793121661245,0.49544270833333337,0.578,-0.1972005347240501,0.5035807291666666,0.422,0.2229693400916828,0.5651041666666666,0.0,3.7336856242096625
LIPd,0.7249348958333333,0.0,11.713291424055296,0.7376302083333333,0.0,8.770627254575096,0.6927083333333333,0.0,6.794022537310645,0.8206380208333333,0.0,16.25110517283829,0.7721354166666667,0.0,9.900231091532401,0.8313802083333333,0.0,12.121392591635198,0.5445963541666667,0.011,2.2410443578955284,0.6940104166666666,0.0,10.067991974733564,0.78125,0.0,14.713822301499727
6a,0.673828125,0.0,9.584618894589925,0.7408854166666667,0.0,8.875796508422336,0.6243489583333333,0.0,4.728289140634458,0.6930338541666667,0.0,9.924639362770622,0.69921875,0.0,7.6227381603726405,0.697265625,0.0,7.489367253047967,0.5302734375,0.054,1.6340278357255646,0.63671875,0.0,7.403059242822799,0.65625,0.0,8.514283748075618
i6-8,0.6956380208333333,0.0,9.740785775454983,0.6790364583333333,0.0,6.31671003078623,0.642578125,0.0,4.9676371002377095,0.68359375,0.0,9.516721698085997,0.6223958333333333,0.0,4.4849387070762905,0.7109375,0.0,7.876694451931775,0.56640625,0.0,3.215727243607777,0.6233723958333334,0.0,6.458840211586596,0.6119791666666666,0.0,5.798848650406985
s6-8,0.5680338541666667,0.0,3.5784367486967845,0.5377604166666666,0.092,1.3022637062941946,0.5540364583333334,0.031,1.8732945248609083,0.619140625,0.0,5.915521814137568,0.59375,0.0,3.3434984916006534,0.59375,0.0,3.37075198060699,0.49055989583333337,0.686,-0.4680482577872611,0.5501302083333333,0.008,2.563384467786965,0.5921223958333334,0.0,4.854108052115448
43,0.5579427083333333,0.0,2.98843555586968,0.5188802083333333,0.251,0.6663295088472312,0.5651041666666667,0.005,2.4171912612313022,0.6236979166666667,0.0,6.4381501497923335,0.6002604166666667,0.0,3.684066657801549,0.59375,0.002,3.581043702278256,0.48763020833333337,0.737,-0.6229452667986843,0.546875,0.007,2.435880914009231,0.5950520833333334,0.0,4.955217751229025
OP4,0.5455729166666666,0.006,2.3766954104610623,0.51953125,0.229,0.7665677415139841,0.513671875,0.295,0.5689938370044876,0.6510416666666667,0.0,7.933042769470985,0.6243489583333333,0.0,4.788209233818133,0.62890625,0.0,4.8658384003093476,0.5120442708333334,0.251,0.6447513082129108,0.529296875,0.057,1.5974224271888053,0.6188151041666667,0.0,6.4464637299849725
OP1,0.5390625,0.031,1.9348276088592167,0.5690104166666667,0.002,2.541223217720522,0.5436197916666667,0.055,1.5877130902236718,0.556640625,0.001,3.0902154478488377,0.5755208333333333,0.003,2.7564910160084923,0.5631510416666667,0.012,2.2996505359639907,0.5100911458333334,0.303,0.5193051680528593,0.4899088541666667,0.707,-0.5270537280113761,0.546875,0.002,2.529274475612198
OP2-3,0.4833984375,0.8,-0.8304090090920265,0.5006510416666667,0.501,0.020293954026078583,0.5221354166666666,0.241,0.7700637723378231,0.5774739583333334,0.0,3.9706403553172285,0.58984375,0.001,3.328324291708969,0.5358072916666667,0.094,1.2423330576804406,0.5240885416666667,0.115,1.1991485704568121,0.50390625,0.435,0.1901783758803101,0.5465494791666667,0.006,2.484122836709245
52,0.5166015625,0.193,0.8767697256762823,0.49934895833333337,0.526,-0.043619338293769294,0.560546875,0.014,2.1333418332228917,0.5625,0.001,3.127727486519686,0.548828125,0.038,1.7348363167871759,0.5865885416666667,0.0,3.0303346123159556,0.5208333333333333,0.13,1.0691736180827671,0.5192057291666666,0.164,1.012380124336266,0.5403645833333334,0.025,1.9914773480745802
RI,0.5481770833333333,0.01,2.4048179639719516,0.5208333333333333,0.246,0.7127095041111313,0.5423177083333333,0.063,1.5579109519978858,0.6272786458333333,0.0,6.4850700547038596,0.6256510416666667,0.0,4.770968634718973,0.5989583333333333,0.0,3.6523479321031513,0.5042317708333333,0.433,0.21029011914158544,0.5146484375,0.248,0.7423509523107745,0.5885416666666667,0.0,4.592643481706558
PFcm,0.5244140625,0.108,1.2244571978868792,0.5475260416666667,0.044,1.7280114468935983,0.517578125,0.269,0.6537520328694776,0.6764322916666667,0.0,9.051911461879218,0.6158854166666667,0.0,4.321726180223544,0.6875,0.0,7.1458595231198405,0.4964192708333333,0.589,-0.1588702322988549,0.5309244791666666,0.049,1.7057799278863728,0.6546223958333334,0.0,8.271157042715464
PoI2,0.5455729166666667,0.009,2.385025706825847,0.5065104166666667,0.409,0.2384640676605026,0.5162760416666667,0.274,0.5810041934632568,0.5748697916666667,0.0,3.778056699106243,0.5227864583333333,0.222,0.7775773778041225,0.568359375,0.008,2.5802034013561648,0.4778645833333333,0.86,-1.0949225840108063,0.5377604166666667,0.026,1.9688174233917894,0.5764973958333334,0.0,4.074284221913353
