ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
AuditoryAssociation,0.548828125,0.003,2.794677423364421,0.484375,0.72,-0.55718412505927,0.5625,0.009,2.3644822636682616,0.7535807291666667,0.0,13.924651857807486,0.748046875,0.0,9.424835454328996,0.7578125,0.0,10.00539012415948,0.5130208333333333,0.226,0.7298872634131394,0.5319010416666666,0.047,1.6907963037440528,0.728515625,0.0,12.568215198324191,0.6051432291666666
Insular & FrontoOpercular,0.515625,0.188,0.8592679234094177,0.4830729166666667,0.751,-0.658282851357138,0.5716145833333333,0.004,2.764064081785075,0.7291666666666667,0.0,12.7293901434025,0.7220052083333333,0.0,8.48229933347093,0.73828125,0.0,9.340002616769484,0.4873046875,0.747,-0.6793279886194302,0.49804687500000006,0.539,-0.08241910769577732,0.7037760416666667,0.0,11.37432093851932,0.577365451388889
MedialTemporal,0.6708984375,0.0,9.16793972800988,0.6302083333333334,0.0,4.82868909230112,0.6666666666666667,0.0,6.275122231792946,0.7210286458333333,0.0,11.958879708969807,0.6829427083333333,0.0,6.72346892231303,0.703125,0.0,7.533744601143662,0.5055338541666666,0.376,0.32202219495520473,0.6595052083333334,0.0,8.340537691427013,0.6770833333333333,0.0,9.499308825793799,0.6324869791666666
LateralTemporal,0.533203125,0.032,1.8348464132998408,0.5260416666666666,0.168,0.9907371485536118,0.5696614583333333,0.007,2.588188697632006,0.7623697916666667,0.0,14.264380506430461,0.728515625,0.0,9.153375112661422,0.7662760416666667,0.0,10.386449819235699,0.5221354166666666,0.106,1.2335920886076075,0.5432942708333333,0.014,2.3270080969745965,0.73046875,0.0,12.990619935233989,0.6059027777777778
TPOJ,0.6363932291666667,0.0,7.441961885968141,0.67578125,0.0,6.645058014588074,0.638671875,0.0,5.226031659862803,0.8792317708333333,0.0,20.55807493039864,0.822265625,0.0,12.685140612974559,0.896484375,0.0,15.544340406395648,0.55859375,0.0,3.183598453753537,0.5804036458333334,0.0,4.3083329206715,0.8229166666666666,0.0,17.18959930062656,0.69140625
SuperiorParietal,0.8359375,0.0,18.417588944956343,0.8430989583333333,0.0,12.969656343294997,0.8157552083333333,0.0,11.812007219619815,0.953125,0.0,23.9209300475172,0.9375,0.0,16.880616103052862,0.966796875,0.0,17.608065025847687,0.6077473958333333,0.0,5.856984869713655,0.7978515625,0.0,16.451949657182276,0.9235026041666666,0.0,24.405680310576248,0.7989366319444443
InferiorParietal,0.77734375,0.0,15.017084243805723,0.7662760416666667,0.0,9.891306896275466,0.7669270833333333,0.0,10.135839726318043,0.9430338541666667,0.0,23.965217163082514,0.8951822916666667,0.0,14.866467799713302,0.9375,0.0,16.7295537787606,0.5729166666666667,0.001,3.9370320499761826,0.7255859375,0.0,12.394995983890842,0.9016927083333334,0.0,22.45618013466682,0.7644314236111112
PosteriorCingulate,0.7373046875,0.0,12.823777781056904,0.7096354166666667,0.0,7.619789324316834,0.7161458333333333,0.0,8.296195948488185,0.8450520833333333,0.0,18.751493625290934,0.8098958333333333,0.0,12.147522965474572,0.8619791666666667,0.0,13.647873185197662,0.53125,0.053,1.67575724285595,0.7102864583333334,0.0,11.203934796339356,0.8014322916666666,0.0,16.584848124138844,0.7045355902777777
ACC & MPFC,0.5865885416666666,0.0,4.787196117792686,0.556640625,0.021,2.0027502873603313,0.607421875,0.0,3.963118464937057,0.7119140625,0.0,11.978524665359629,0.7018229166666667,0.0,7.6845044331918775,0.7018229166666667,0.0,7.5683005058076365,0.5104166666666667,0.31,0.5172131635933975,0.5677083333333333,0.001,3.8276663129592436,0.6731770833333333,0.0,9.455471995688672,0.6029730902777778
Orbital & PolarFrontal,0.5592447916666666,0.001,3.222228710879281,0.5625,0.013,2.3001053630565074,0.5872395833333333,0.001,3.1766538086547498,0.6559244791666667,0.0,8.619886932203382,0.6373697916666667,0.0,4.978051485800434,0.693359375,0.0,7.157061494855271,0.5423177083333333,0.013,2.194915710287442,0.5377604166666666,0.017,2.0465400550452646,0.6253255208333333,0.0,6.703657490676138,0.5858289930555556
InferoirFrontal,0.6158854166666666,0.0,6.0312989870956075,0.6328125,0.0,4.98480131031448,0.6484375,0.0,5.567747335420099,0.8935546875,0.0,21.080622444370725,0.8619791666666667,0.0,13.56105348785436,0.9147135416666667,0.0,15.86958630567705,0.5374348958333333,0.022,1.966649724366662,0.5888671875,0.0,4.7761690642900785,0.8662109375,0.0,19.568075339145487,0.6822916666666666
DLPFC,0.7151692708333333,0.0,11.792050402028053,0.7057291666666667,0.0,7.511041744620703,0.7076822916666667,0.0,7.65132052018833,0.875,0.0,21.19566137715121,0.798828125,0.0,11.047535228457495,0.8756510416666667,0.0,14.334514428328049,0.5162760416666666,0.177,0.888850456467086,0.6565755208333334,0.0,8.456512534360861,0.8089192708333334,0.0,17.056360009617958,0.7021484375
