ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
8Av,0.529296875,0.071,1.4673356758225617,0.521484375,0.24,0.8001170705004256,0.525390625,0.186,0.9216749219009709,0.658203125,0.0,8.21357330082071,0.673828125,0.0,6.86504345459531,0.626953125,0.0,4.834787076769981,0.529296875,0.058,1.6115723516882998,0.5107421875,0.298,0.5503733270553576,0.611328125,0.0,5.89917916697865,0.572265625
8Ad,0.517578125,0.18,0.9625937513680426,0.5078125,0.388,0.3101784977201191,0.513671875,0.314,0.5176311851272016,0.6259765625,0.0,6.5190652933242506,0.607421875,0.0,3.9078037614641215,0.56640625,0.01,2.4716573473236054,0.498046875,0.56,-0.1005031586692339,0.5380859375,0.034,1.963392743998952,0.6064453125,0.0,5.648947386130316,0.5472005208333334
9m,0.5537109375,0.003,2.8220873859794358,0.544921875,0.053,1.6702714564826118,0.578125,0.004,2.818980338460492,0.6083984375,0.0,5.68261237531016,0.599609375,0.0,3.9038295728429,0.578125,0.002,2.980625878109427,0.5009765625,0.492,0.06154183011783172,0.55078125,0.004,2.6938442328072147,0.58984375,0.0,4.760410078304731,0.5543619791666666
8BL,0.5419921875,0.017,2.149412575642082,0.5,0.5,0.02454541615049888,0.53125,0.146,1.0946580882132024,0.6201171875,0.0,6.028490705385823,0.6328125,0.0,4.863956107284849,0.619140625,0.0,4.368440598309881,0.52734375,0.066,1.4640713351801917,0.5048828125,0.41,0.25863751675407093,0.58984375,0.0,4.750195719162258,0.5631510416666666
9p,0.5224609375,0.124,1.1653117193511195,0.52734375,0.153,1.0528687230364386,0.51171875,0.325,0.47318435926783664,0.5908203125,0.0,4.6326723427774485,0.60546875,0.0,3.9596865445764107,0.55859375,0.015,2.1816712493608077,0.4931640625,0.663,-0.3695663381952142,0.5087890625,0.328,0.48022542003132734,0.583984375,0.0,4.652102864705348,0.5354817708333334
10d,0.5693359375,0.0,3.4520905444248386,0.537109375,0.093,1.356359659082808,0.59765625,0.0,3.4053778007741964,0.5966796875,0.0,5.074778658335146,0.59375,0.0,3.4666639456195663,0.55859375,0.02,2.163584826413605,0.51171875,0.275,0.6294232292216371,0.5380859375,0.03,1.9422670287079542,0.564453125,0.0,3.5235851274232624,0.5592447916666666
8C,0.6181640625,0.0,5.9623272398501115,0.599609375,0.0,3.744005460946568,0.59375,0.001,3.463388243498613,0.751953125,0.0,13.023214227391179,0.74609375,0.0,9.182014915937371,0.71484375,0.0,8.176628956025604,0.5,0.528,-0.004376204411962468,0.5888671875,0.0,4.776356282844749,0.720703125,0.0,11.853270229725268,0.6233723958333334
44,0.5009765625,0.492,0.04820730456071005,0.494140625,0.565,-0.1625595239421933,0.47265625,0.842,-0.9826319561306704,0.6298828125,0.0,6.66570934865301,0.59765625,0.0,3.617221004591798,0.60546875,0.0,3.6653863916815372,0.505859375,0.397,0.3270280441641862,0.484375,0.811,-0.865757426968031,0.611328125,0.0,5.9248081857446415,0.5455729166666666
45,0.513671875,0.24,0.7076873735431028,0.546875,0.033,1.817681261239575,0.525390625,0.191,0.9167422068168445,0.6025390625,0.0,5.272108420987421,0.544921875,0.039,1.697559229613731,0.60546875,0.0,4.042681196461411,0.5205078125,0.155,1.0123264950666038,0.5185546875,0.168,0.9723524024048065,0.5537109375,0.003,2.7548890337345755,0.5455729166666666
47l,0.546875,0.007,2.466235382592642,0.517578125,0.264,0.6714326196462916,0.529296875,0.15,1.0618815526471577,0.6005859375,0.0,5.226728615616844,0.62890625,0.0,4.9351416064647395,0.568359375,0.006,2.4804986120119357,0.4951171875,0.612,-0.2721833737301026,0.5546875,0.001,2.8349495807860294,0.576171875,0.0,4.262371416864968,0.5475260416666666
